Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Haarlem Tesselschadeplein;Andres van Boggelen;06-31883374;AndresvanBoggelen@einrot.com;Bakenessergracht 23;Haarlem;donderdag 8 november 2018;Afhalen;donderdag 8 november 2018;19:33;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 16,90;25% korting op je bestelling;€ 4,23;€ 12,68
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;

Meppel;Raymond Wassenaar;06-49057236;RaymondWassenaar@jourrapide.com;Blankenstein 82;Meppel;dinsdag 16 mei 2017;Afhalen;dinsdag 16 mei 2017;16:51;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;€ 37,80;25% korting op je bestelling;€ 9,45;€ 28,35
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 8,95;;;;

Vlaardingen;Rabiye Verwoert;06-46566230;RabiyeVerwoert@armyspy.com;Frieslandlaan 60;Vlaardingen;zondag 28 juli 2019;Afhalen;zondag 28 juli 2019;20:55;Shoarma;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Utrecht Marnixlaan;Ting Mertens;06-23333331;TingMertens@gustr.com;Catharijnesteeg 144;Utrecht;maandag 26 november 2018;Bezorgen;maandag 26 november 2018;19:12;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Beenham, Basilicum, Gehakt;€ 3,00;€ 13,95;€ 50,85;3e pizza gratis bij bezorgen;€ 0,00;€ 50,85
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;€ 2,00;2;Knoflooksaus Swirl, Chorizo, Ananas, Paprikamix;€ 3,50;€ 36,90;;;;

Etten Leur;Adriane Hilferink;06-59565550;AdrianeHilferink@fleckens.hu;Hazeleger 151;Etten-Leur;dinsdag 19 februari 2019;Afhalen;dinsdag 19 februari 2019;17:17;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;€ 9,90;;€ 0,00;€ 9,90

Leiden;Nadège van Marrewijk;06-73657140;NadegevanMarrewijk@teleworm.us;Oude Singel 96;Leiden;vrijdag 14 juni 2019;Bezorgen;vrijdag 14 juni 2019;20:15;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 39,80;25% korting op je bestelling;€ 9,95;€ 29,85
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;;;;

Meppel;Arslan Volders;06-72256804;ArslanVolders@cuvox.de;Bartholomeus van der Helststraat 177;Meppel;zondag 6 januari 2019;Bezorgen;zondag 6 januari 2019;19:54;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 29,90;;€ 0,00;€ 29,90

Uden;Charisa Willemse;06-28358611;CharisaWillemse@teleworm.us;Hermelijnstraat 117;Volkel;vrijdag 28 april 2017;Afhalen;vrijdag 28 april 2017;20:29;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 22,85;;€ 0,00;€ 22,85
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Den Bosch Empel;Elvie Gillissen;06-49486754;ElvieGillissen@armyspy.com;Christoffel Wuststraat 76;Rosmalen;maandag 20 maart 2017;Bezorgen;maandag 20 maart 2017;17:57;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 95,65;;€ 0,00;€ 95,65
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 55,80;;;;
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;;;;

Purmerend;Shona Boskma;06-50565910;ShonaBoskma@superrito.com;Volume 154;Purmerend;dinsdag 14 november 2017;Afhalen;dinsdag 14 november 2017;18:18;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Utrecht Rijnlaan;Xander Heins;06-11740030;XanderHeins@jourrapide.com;Washingtondreef 32;Utrecht;woensdag 20 februari 2019;Afhalen;woensdag 20 februari 2019;16:30;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 11,95;€ 33,80;;€ 0,00;€ 33,80
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;;;;

Bussum;Louwrens Roseboom;06-92408786;LouwrensRoseboom@jourrapide.com;Anna Louisa Geertruida Bosboom-Toussaintlaan 50;Bussum;woensdag 10 april 2019;Afhalen;woensdag 10 april 2019;19:12;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 92,55;;€ 0,00;€ 92,55
;;;;;;;;;;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;4;;€ 0,00;€ 51,80;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Schiedam;Pepe van den Brand;06-40486958;PepevandenBrand@cuvox.de;Julianalaan 102;Schiedam;maandag 29 januari 2018;Bezorgen;maandag 29 januari 2018;16:10;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 24,90;25% korting op je bestelling;€ 6,23;€ 18,68
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Den Helder;Steffan Broekhoven;06-59282471;SteffanBroekhoven@cuvox.de;Wierbalg 23;Den Helder;maandag 2 januari 2017;Afhalen;maandag 2 januari 2017;19:34;Beenham;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 36,80;;€ 0,00;€ 36,80
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Eindhoven Tongelre;Rikst Weel;06-19067383;RikstWeel@gustr.com;Bloklaan 32;Eindhoven;dinsdag 4 december 2018;Bezorgen;dinsdag 4 december 2018;20:16;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;4;;€ 0,00;€ 27,80;€ 27,80;25% korting op je bestelling;€ 6,95;€ 20,85

Den Haag Goudenregenplein;Ritchy Dietvorst;06-94611279;RitchyDietvorst@jourrapide.com;Dorshout 7;Veghel;vrijdag 19 januari 2018;Afhalen;vrijdag 19 januari 2018;19:41;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 35,80;€ 67,60;25% korting op je bestelling;€ 16,90;€ 50,70
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;;2;;€ 0,00;€ 13,90;;;;

Purmerend;Sharine Nijholt;06-78114744;SharineNijholt@dayrep.com;Brikhof 28;Purmerend;maandag 12 november 2018;Bezorgen;maandag 12 november 2018;20:47;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 47,80;;€ 0,00;€ 47,80
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Diemen;Bionda Glerum;06-27014807;BiondaGlerum@rhyta.com;Koninginnepad 153;Diemen;donderdag 12 januari 2017;Afhalen;donderdag 12 januari 2017;18:20;Veggi;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;€ 35,80;25% korting op je bestelling;€ 8,95;€ 26,85
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 19,90;;;;

Nootdorp;Adisa Sloots;06-17669094;AdisaSloots@teleworm.us;Stalpaertstraat 22;Hilversum;maandag 29 oktober 2018;Afhalen;maandag 29 oktober 2018;20:40;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 35,80;€ 61,65;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 59,65
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 17,90;;;;

Amsterdam Noord;Tim Kop;06-77233282;TimKop@rhyta.com;Ariana Nozemanstraat 36;Amsterdam;dinsdag 18 april 2017;Afhalen;dinsdag 18 april 2017;18:05;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;€ 27,80;;€ 0,00;€ 27,80
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 15,90;;;;

Leiden;Henderika Klever;06-94103931;HenderikaKlever@fleckens.hu;Maria Gijzenplein 42;Leiden;dinsdag 4 juli 2017;Afhalen;dinsdag 4 juli 2017;16:04;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;€ 60,70;;€ 0,00;€ 60,70
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;1;Spaanse Pepers, Merguez, Ham, Ananas;€ 4,00;€ 14,95;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 35,80;;;;

Maastricht;Fransiscus Mutlu;06-43837580;FransiscusMutlu@cuvox.de;Theodoor Schaepkensstraat 164;Maastricht;zaterdag 24 augustus 2019;Afhalen;zaterdag 24 augustus 2019;18:19;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 41,80;;€ 0,00;€ 41,80
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 19,90;;;;

Woerden;Els Poeran;06-28033421;ElsPoeran@rhyta.com;Adriaan van Ostadestraat 19;Woerden;donderdag 24 augustus 2017;Bezorgen;donderdag 24 augustus 2017;19:19;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 34,85;;€ 0,00;€ 34,85
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Dordrecht Bamendaweg;Denian Drost;06-68336352;DenianDrost@gustr.com;Colijnstraat 56;Dordrecht;zaterdag 9 december 2017;Bezorgen;zaterdag 9 december 2017;16:03;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 69,70;;€ 0,00;€ 69,70
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Geleen;Tjalling Leutscher;06-49561949;TjallingLeutscher@dayrep.com;Boerhaavestraat 32;Geleen;dinsdag 9 mei 2017;Afhalen;dinsdag 9 mei 2017;19:25;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;€ 77,60;;€ 0,00;€ 77,60
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;

Heerhugowaard;Benedict van Delden;06-84329060;BenedictvanDelden@fleckens.hu;Potvis 46;Heerhugowaard;zondag 29 oktober 2017;Bezorgen;zondag 29 oktober 2017;19:57;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 61,75;2e pizza gratis bij afhalen;€ 0,00;€ 61,75
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;

Valkenswaard;Efraim van Langeveld;06-68623324;EfraimvanLangeveld@jourrapide.com;Haagstraat 187;Valkenswaard;dinsdag 28 november 2017;Bezorgen;dinsdag 28 november 2017;20:56;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;€ 2,00;2;;€ 0,00;€ 31,90;€ 31,90;;€ 0,00;€ 31,90

Rotterdam Zuidplein;Emina Rijsdijk;06-12357317;EminaRijsdijk@einrot.com;Baarschootsekreek 2;Rotterdam;vrijdag 16 maart 2018;Afhalen;vrijdag 16 maart 2018;16:13;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 12,90;;€ 0,00;€ 12,90
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;

Rotterdam Mariniersweg;Mattia Voogd;06-10706493;MattiaVoogd@teleworm.us;Hogenbanweg 138;Rotterdam;maandag 23 juli 2018;Bezorgen;maandag 23 juli 2018;17:24;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Groningen Boterdiep;Walther van der Stel;06-89243898;WalthervanderStel@jourrapide.com;De Ranitzstraat 118;Groningen;woensdag 8 augustus 2018;Afhalen;woensdag 8 augustus 2018;19:05;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Gorinchem;Matilda van der Zee;06-36337174;MatildavanderZee@gustr.com;Haydnstraat 125;Gorinchem;vrijdag 12 januari 2018;Afhalen;vrijdag 12 januari 2018;20:53;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;€ 27,35;;€ 0,00;€ 27,35
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;1;Chorizo, Kaasmix, Chorizo;€ 3,50;€ 15,45;;;;

Hilversum;Lennon Pet;06-84161599;LennonPet@cuvox.de;Cameliastraat 129;Hilversum;vrijdag 28 juli 2017;Afhalen;vrijdag 28 juli 2017;20:24;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;€ 4,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 4,95

Emmen;Maurien Maatkamp;06-50098501;MaurienMaatkamp@cuvox.de;De Lemzijde 53;Emmen;dinsdag 17 juli 2018;Afhalen;dinsdag 17 juli 2018;16:39;Hawaii;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 71,60;;€ 0,00;€ 71,60
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 35,80;;;;
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;

Apeldoorn;Freke Krikken;06-95657244;FrekeKrikken@fleckens.hu;Koning Lodewijklaan 91;Apeldoorn;woensdag 10 januari 2018;Afhalen;woensdag 10 januari 2018;17:21;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 12,95;€ 24,90;3e pizza gratis bij bezorgen;€ 0,00;€ 24,90
;;;;;;;;;;Shoarma;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;

Den Bosch;Aaltje Commandeur;06-44096402;AaltjeCommandeur@gustr.com;Pieter Breughelstraat 55;s-Hertogenbosch;zaterdag 27 juli 2019;Afhalen;zaterdag 27 juli 2019;20:22;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Almere Buiten;Wan Wille;06-88144424;WanWille@rhyta.com;Antiguastraat 199;Almere;dinsdag 13 augustus 2019;Bezorgen;dinsdag 13 augustus 2019;18:29;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Vlaardingen;Celina Karakaya;06-67611419;CelinaKarakaya@teleworm.us;Narcisstraat 189;Vlaardingen;donderdag 30 november 2017;Bezorgen;donderdag 30 november 2017;17:58;Margaritha;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 21,90;25% korting op je bestelling;€ 5,48;€ 16,43

Rotterdam Zevenkamp;Abel Foolen;06-96812690;AbelFoolen@cuvox.de;Dirk Smeetslaan 113;Rotterdam;woensdag 3 mei 2017;Afhalen;woensdag 3 mei 2017;16:54;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 7,95;€ 7,95;;€ 0,00;€ 7,95

Tiel;Pablo Theunisz;06-69723309;PabloTheunisz@cuvox.de;De Hennepe 141;Tiel;donderdag 18 mei 2017;Bezorgen;donderdag 18 mei 2017;16:57;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 29,90;;€ 0,00;€ 29,90

Waalwijk;Yesim Tilmans;06-74283707;YesimTilmans@teleworm.us;Anna van Burenstraat 184;Waalwijk;zondag 1 september 2019;Bezorgen;zondag 1 september 2019;16:39;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;€ 2,00;4;;€ 0,00;€ 39,80;€ 39,80;;€ 0,00;€ 39,80

Uden;Marisha Jeuken;06-75074716;MarishaJeuken@teleworm.us;Klarinetstraat 157;Uden;zaterdag 23 december 2017;Bezorgen;zaterdag 23 december 2017;19:22;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;Salami, Bacon, Spaanse Pepers, Paprikamix;€ 4,00;€ 31,90;€ 76,70;;€ 0,00;€ 76,70
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Meppel;Jarnick Dirksen;06-95267892;JarnickDirksen@rhyta.com;Resedastraat 80;Meppel;zondag 25 augustus 2019;Afhalen;zondag 25 augustus 2019;18:15;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 43,80;€ 89,60;;€ 0,00;€ 89,60
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;;4;Verse Tomaat, Spaanse Pepers, Beenham, Gehakt;€ 4,50;€ 45,80;;;;

Amersfoort Vathorst;Richenel Lai;06-50639022;RichenelLai@fleckens.hu;Berkenweg 18;Amersfoort;zaterdag 28 januari 2017;Bezorgen;zaterdag 28 januari 2017;17:41;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 53,75;;€ 0,00;€ 53,75
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;Merguez, Gorgonzola;€ 2,00;€ 19,90;;;;

Arnhem;Don Herben;06-72474027;DonHerben@jourrapide.com;Utrechtseweg 115;Arnhem;maandag 27 maart 2017;Afhalen;maandag 27 maart 2017;16:46;Pollo Pomodore;Medium Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 17,90;€ 54,65;;€ 0,00;€ 54,65
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Margaritha;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;;;;

Oud Beijerland;Josh Steketee;06-33618501;JoshSteketee@einrot.com;Abel Tasmanstraat 61;Oud-Beijerland;zaterdag 6 januari 2018;Bezorgen;zaterdag 6 januari 2018;19:27;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 33,85;;€ 0,00;€ 33,85
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;

Alkmaar;Lidewij Slabbekoorn;06-97286701;LidewijSlabbekoorn@gustr.com;Lombardijeweg 173;Alkmaar;woensdag 3 oktober 2018;Bezorgen;woensdag 3 oktober 2018;17:50;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Zwolle Bachplein;Jon Norbart;06-94667162;JonNorbart@einrot.com;Pieter Corneliszoon Hooftstraat 66;Zwolle;zaterdag 4 mei 2019;Bezorgen;zaterdag 4 mei 2019;17:43;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 42,85;;€ 0,00;€ 42,85
;;;;;;;;;;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;

Spijkenisse;Lennard Roeterdink;06-47217499;LennardRoeterdink@teleworm.us;Egvoorde 111;Spijkenisse;zaterdag 14 januari 2017;Afhalen;zaterdag 14 januari 2017;19:12;Deluxe;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;

Den Haag Oude Haagweg;Lalita Murk;06-80858997;LalitaMurk@superrito.com;Sabotagelaan 98;Groningen;zondag 3 november 2019;Afhalen;zondag 3 november 2019;20:34;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;1;Ananas, Chorizo, Ham, Kip;€ 4,00;€ 13,95;€ 37,85;;€ 0,00;€ 37,85
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;;;;

Roosendaal;Asena Baggen;06-18974653;AsenaBaggen@superrito.com;Wouwbaan 138;Roosendaal;donderdag 18 oktober 2018;Afhalen;donderdag 18 oktober 2018;19:06;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;€ 17,90;2e pizza gratis bij afhalen;€ 6,95;€ 10,95
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;

Zeist;Franco Hemmen;06-41391492;FrancoHemmen@jourrapide.com;Laan van Vollenhove 5;Zeist;zaterdag 1 december 2018;Afhalen;zaterdag 1 december 2018;16:52;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 17,90;€ 58,70;;€ 0,00;€ 58,70
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 8,95;;;;

Oosterhout;Gülcan van Weert;06-21461182;GulcanvanWeert@fleckens.hu;Albusstraat 157;Oosterhout;woensdag 22 mei 2019;Afhalen;woensdag 22 mei 2019;18:06;Shoarma;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;€ 81,65;2e pizza gratis bij afhalen;€ 7,95;€ 73,70
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;

Valkenswaard;Cian van den Bogaard;06-33786380;CianvandenBogaard@superrito.com;Maastrichterweg 132;Valkenswaard;maandag 25 juni 2018;Bezorgen;maandag 25 juni 2018;20:36;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 26,90;;€ 0,00;€ 26,90
;;;;;;;;;;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

